ID,PrimaryKey,Plant_sp_count,BareSoilCover,TotalFoliarCover,FH_TotalLitterCover,latitude,longitude,CRS
175,CO_KFO_LUP_2021_KFO2021_072_V22022-09-01,67,12.66666667,77.33333333,4,39.98526001,-106.2918249,4326
176,CO_LSFO_LUP_2021_LSFO2021-084_V22023-09-01,67,52.66666667,27.33333333,17.33333333,40.94230309,-108.1640308,4326
177,CO_RGFO_LUP_2022_RA-032_V12023-09-01,67,12,42.66666667,30.66666667,38.31614625,-105.5893323,4326
178,CO_RGFO_LUP_2022_RA-038_V12023-09-01,67,9.33333333,55.33333333,14,38.69854848,-105.494995,4326
179,CO_RGFO_LUP_2022_RA-040_V12023-09-01,67,11.33333333,69.33333333,10,38.71163992,-105.6279499,4326
180,MTC02000_2018_Clay-based-0152018-09-01,67,6,82,12,47.80844857,-106.1319484,4326
181,MT_NCMD_LUP_2022_S15-568_V12023-09-01,67,3.33333333,93.33333333,3.33333333,47.52611618,-109.5969987,4326
182,MT_North-Central-Montana-LUP-2017_GR-200_V12020-09-01,67,3.33333333,80.66666667,14,47.45180497,-108.1485172,4326
183,WY_BFO_LUP_2022_BFO2022-024_V22023-09-01,67,16.66666667,76.66666667,5.33333333,44.15005022,-106.0736611,4326
184,WY_NFO_LUP_2022_NFO2022_NR_027_V12022-09-01,67,12,74.66666667,9.33333333,43.3969325,-104.5220135,4326
185,WY_WFO_LUP_2022_WFO2022-058_V12023-09-01,67,17.33333333,53.33333333,12,43.55310198,-107.7540478,4326
186,18073010454958412018-09-01,66,6.66666667,80.66666667,11.33333333,40.180055,-106.364809,4326
187,2205121309103972022-09-01,66,9.33333333,83.33333333,6,44.367482,-105.902099,4326
188,2205121422031642022-09-01,66,4.66666667,94,0.66666667,44.361983,-105.831489,4326
189,CO_KFO_INT_TRGT_2022_Bolton_Draw_T1_V22022-09-01,66,12.66666667,79.33333333,7.33333333,40.68081724,-106.1228567,4326
190,CO_SWDO_Fuels_2022_Red_Creek-04_V12023-09-01,66,5.33333333,58.66666667,13.33333333,38.5060802,-107.2403083,4326
191,MTC02000_OverSample2018_Unk_ESD-3562018-09-01,66,19.59459459,60.13513514,14.18918919,47.54925113,-106.6835539,4326
192,MTL0600_2019_MSMB-0842019-09-01,66,10,89.33333333,0,47.57775549,-109.8372709,4326
193,MT_MCFO_AIMLite_2023_PineRidge_X1_V22023-09-01,66,0.66666667,91.33333333,8,45.98642756,-105.7993563,4326
194,MT_NCMD_LUP_2022_COMB-003_V22023-09-01,66,15.33333333,56,26,47.57299606,-108.9855472,4326
195,MT_NCMD_LUP_2022_MB-516_V12023-09-01,66,2,87.33333333,9.33333333,47.1569432,-108.1015792,4326
196,MT_UMRBNM-2019_WSMB-179_V12020-09-01,66,10.66666667,62.66666667,24.66666667,47.88997644,-109.2725885,4326
197,WY_CAFO_LUP_2022_CAFO2022_NR_047_V12022-09-01,66,6,86.66666667,6.66666667,42.45679147,-106.3541949,4326
198,WY_CYFO-2021_CON-231_V12021-09-01,66,39.33333333,27.33333333,7.33333333,44.59604683,-108.1864943,4326
199,WY_NFO_LUP_2022_NFO2022_008_V12022-09-01,66,53.33333333,46,0.66666667,43.3467293,-104.4940558,4326
200,WY_RSFO_CM_RMP_2022_CM2022_031_V12022-09-01,66,60,36.66666667,2,41.08097414,-110.0613475,4326
201,WY_WFO-Terrestrial-AIM-2021_SH-PHMA-238_V12021-09-01,66,30,51.33333333,12,44.1024503,-108.511394,4326
202,WY_WY-Kemmerer-FO-2021_KFO2021-017_V22021-09-01,66,2.66666667,64,32.66666667,42.09632691,-110.6652561,4326
203,WY_WY-Kemmerer-FO-2021_KFO2021-020_V22021-09-01,66,38.66666667,38.66666667,14.66666667,41.27376473,-109.7821308,4326
204,WY_WY_LanderFieldOffice_2016_WY_SAGE-597_V12021-09-01,66,21.33333333,58,18,43.24889134,-107.5728343,4326
205,WY_WY_LanderFieldOffice_2016_WY_SAGE-609_V12021-09-01,66,25.33333333,56.66666667,15.33333333,42.84425323,-108.3482738,4326
206,WY_WY_PinedaleFieldOffice_2021_WS-014_V12021-09-01,66,55.33333333,30.66666667,7.33333333,42.40099749,-109.9937808,4326
207,17082510462341912017-09-01,65,0,82,14.66666667,38.119884,-105.359656,4326
208,20072115090391742020-09-01,65,13.33333333,55.33333333,31.33333333,39.78507674,-108.4140873,4326
209,2205121356179442022-09-01,65,9.33333333,85.33333333,5.33333333,44.359867,-105.918621,4326
210,22051311204479292022-09-01,65,33.33333333,55.33333333,0.66666667,44.582886,-105.845818,4326
211,22051311325426302022-09-01,65,19,76,4,44.403101,-105.805035,4326
212,CON02000_2017_CRV-432019-09-01,65,0.66666667,95.33333333,2,39.83061015,-106.6522713,4326
213,CON02000_OverSample2019_CRV-172019-09-01,65,10.66666667,78,6.66666667,39.85998266,-106.7228446,4326
214,CO_CO-NWD-2020_MtnSage-322_V12020-09-01,65,8,66.66666667,25.33333333,40.41148568,-108.8015866,4326
